name_uk;name_ru;oblast;raion;type;lat;lon
Zhuravne;Zhuravne;Vinnytsia;;місто;49.50612;28.18049
Zhuravno;Журавно;Lviv;;місто;49.26002;24.28193
Zhuravnyky;Журавники;Volyn;;місто;50.4299;24.68874
Zhuravlintsy;Zhuravlintsy;Khmelnytskyi;;місто;49.31994;26.43968
Zhuravlyne;Zhuravlyne;Volyn;;місто;51.30729;24.53181
Zhuravlynka;Журавлинка;Zhytomyr;;місто;50.47741;29.03125
Zhuravlykha;Журавлиха;Kyiv;;місто;49.41702;30.34587
Zhuravli;Журавли;Kharkivs’ka Oblast’;;місто;49.95734;35.56814
Zhuravlivka;Zhuravlivka;Vinnytsia;;місто;49.01556;27.58203
Zhuravlivka;Журавлёвка;Vinnytsia;;місто;48.64127;28.72332
Zhuravlëv;Zhuravlëv;Dnipropetrovsk;;місто;48.25;36.18333
Zhuravki;Журавки;Crimea;;місто;45.12629;35.21513
Zhuravka;Журавка;Sumy;;місто;52.20008;33.41154
Zhuravka;Zhuravka;Sumy;;місто;52.06167;33.93333
Zhuravka;Журавка;Sumy;;місто;51.22181;34.98771
Zhuravka;Журавка;Chernihiv;;місто;50.48108;32.5949
Zhuravka;Журавка;Cherkasy;;місто;49.28251;31.1846
Zhuravka;Журавка;Donetsk;;місто;48.22992;37.36361
Zhuravin;Zhuravin;Lviv;;місто;49.23333;22.71667
Zhuravychi;Журавичи;Volyn;;місто;50.98016;25.71931
Zhuravenky;Zhuravenky;Ivano-Frankivsk;;місто;49.24201;24.37135
Zhurava;Журава;Vinnytsia;;місто;49.30387;28.83903
Zhuratyn;Zhuratyn;Lviv;;місто;49.94173;24.59921
Zhuraky;Zhuraky;Ivano-Frankivsk;;місто;48.73951;24.48434
Zhupany;Zhupany;Lviv;;місто;48.79569;23.19861
Zhulychi;Zhulychi;Lviv;;місто;49.86139;24.86971
Zhulyn;Zhulyn;Lviv;;місто;49.17833;23.77157
Zhukivtsi;Жуковцы;Kyiv;;місто;50.07809;30.7759
Zhukovtsy;Zhukovtsy;Ternopil;;місто;49.79919;26.00986
Zhukivtsi;Zhukivtsi;Vinnytsia;;місто;49.01045;28.1834
Zhukovtse;Zhukovtse;Ternopil;;місто;49.69494;25.23618
Zhukove;Zhukove;Dnipropetrovsk;;місто;48.35889;36.59722
Zhukivka;Жуковка;Chernihiv;;місто;51.32821;31.68051
Zhukivka;Zhukivka;Sumy;;місто;51.05423;33.83236
Zhukovka;Zhukovka;Poltava;;місто;49.45;34.9
Zhukov;Zhukov;Sumy;;місто;51.66667;33.5
Zhukiv;Zhukiv;Khmelnytskyi;;місто;50.40195;26.97729
Zhukiv;Zhukiv;Lviv;;місто;49.71431;24.80036
Zhukiv;Жуков;Ternopil;;місто;49.51445;24.94042
Zhukiv;Zhukiv;Ivano-Frankivsk;;місто;48.7076;25.10133
Zhukotyn;Zhukotyn;Lviv;;місто;49.23258;22.86103
Zhukotky;Жукотки;Chernihiv;;місто;51.53599;31.03366
Zhukotyn;Zhukotyn;Ivano-Frankivsk;;місто;48.67875;25.06647
Zhuklia;Жукля;Chernihiv;;місто;51.81847;32.65915
Zhukyn;Жукин;Kyiv;;місто;50.81163;30.69487
Zhuky;Жуки;Poltava;;місто;49.67471;34.5019
Zhuky;Zhuky;Poltava;;місто;49.41996;33.16716
Novozarivka;Novozar’yevka;Donetsk;;місто;47.64014;38.13645
Zhuchkivtsi;Zhuchkivtsi;Khmelnytskyi;;місто;49.34877;26.59333
Zhubrovychi;Zhubrovychi;Zhytomyr;;місто;51.0732;27.88296
Lahidne;Lahidne;Kharkivs’ka Oblast’;;місто;49.03951;36.57827
Kryzhanivka;Kryzhanivka;Odesa;;місто;47.28742;30.22404
Mykolaivka;Жовтневое Второе;Kharkivs’ka Oblast’;;місто;50.38204;37.34137
Pokrovske;Жовтневое;Chernihiv;;місто;51.52184;32.34353
Rozhdestvenske;Жовтневое;Chernihiv;;місто;51.47058;32.9247
Myroliubiv;Myroliubiv;Zhytomyr;;місто;51.24879;28.11942
Mykolaivka;Николаевка;Sumy;;місто;50.94786;34.37813
Blahodatne;Жовтневе;Volyn;;місто;50.66365;24.24918
Dmytrivka;Dmytrivka;Kyiv;;місто;50.60285;29.78394
Voznesenske;Voznesenske;Kyiv;;місто;50.41189;32.02876
Lyman;Жовтневое;Kharkivs’ka Oblast’;;місто;50.24593;36.8942
Slobozhanske;Жовтневое;Kharkivs’ka Oblast’;;місто;50.1843;36.42403
Pokrovske;Pokrovske;Poltava;;місто;50.03958;33.31811
Bohdanivske;Жовтневое;Kharkivs’ka Oblast’;;місто;49.88841;37.82596
Zelenyi Yar;Zelenyi Yar;Kyiv;;місто;49.80911;30.85711
Pokrovske;Покровское;Poltava;;місто;49.64403;34.13317
Kobylovoloky;Kobylovoloky;Ternopil;;місто;49.18961;25.7786
Muksha Kytaihorodska;Muksha Kytaihorodska;Khmelnytskyi;;місто;48.6701;26.61628
Lebedyne;Lebedyne;Kirovohrad;;місто;48.10831;32.5915
Makedonivka;Жовтневое;Donetsk;;місто;47.24287;37.5552
Matyldivka;Matyldivka;Odesa;;місто;46.48593;29.18083
Karakurt;Каракурт;Odesa;;місто;45.64063;28.70511
Yanzhulivka;Жовтневое;Chernihiv;;місто;52.29632;32.56919
Kurylivka;Kurylivka;Sumy;;місто;51.08038;33.38843
Rokyty;Rokyty;Poltava;;місто;49.68568;33.00687
Boholiubivka;Boholiubivka;Kharkivs’ka Oblast’;;місто;49.45877;37.32346
Kvitneve;Жовтневое;Zhytomyr;;місто;49.98784;29.53129
Zhovtnevoye;Zhovtnevoye;Dnipropetrovsk;;місто;48.7;36.16667
Yezupil;Езуполь;Ivano-Frankivsk;;місто;49.04154;24.78102
Nove;Новое;Mykolaiv;;місто;47.90139;32.97358
Petrovirivka;Петроверовка;Odesa;;місто;47.22875;30.33144
Zhovtantsi;Zhovtantsi;Lviv;;місто;49.99135;24.24477
Zhovnyne;Жовнино;Cherkasy;;місто;49.38091;32.68108
Zhovkva;Жолква;Lviv;;місто;50.05751;23.97346
Zhovid;Жоведь;Chernihiv;;місто;51.96727;31.83056
Zhorzhivka;Zhorzhivka;Poltava;;місто;49.93323;34.21949
Zhorniv;Zhorniv;Rivne;;місто;50.52318;25.95005
Zhorniska;Zhorniska;Lviv;;місто;49.90809;23.8269
Zhornyshche;Zhornyshche;Volyn;;місто;50.70912;25.74591
Zhornyshche;Zhornyshche;Vinnytsia;;місто;49.06435;29.08903
Zholoby;Zholoby;Ternopil;;місто;50.07595;25.70189
Zholobky;Zholobky;Ternopil;;місто;50.12703;25.97423
Zholnirova;Zholnirova;Kyiv;;місто;51.3;29.93333
Zhovkyni;Zhovkyni;Rivne;;місто;51.35597;26.14992
Zhalkivshchyna;Zhalkivshchyna;Sumy;;місто;51.82882;33.97149
Zholchuv;Zholchuv;Ivano-Frankivsk;;місто;49.35;24.71667
Zhniatyno;Zhniatyno;Zakarpattia;;місто;48.35368;22.59419
Zhnyborody;Zhnyborody;Ternopil;;місто;48.89853;25.43958
Zhmudche;Zhmudche;Volyn;;місто;51.10222;25.12985
Zhmiivka;Zhmiivka;Kyiv;;місто;51.01068;29.52322
Zhmeryne;Жмерино;Dnipropetrovsk;;місто;47.72164;34.90621
Zhmerynka;Жмеринка;Vinnytsia;;місто;49.03523;28.11405
Zhyznomyr;Zhyznomyr;Ternopil;;місто;49.0298;25.38035
Zhiznikovtsy;Zhiznikovtsy;Khmelnytskyi;;місто;50.02099;26.48151
Zhyvotivka;Zhivotovka;Vinnytsia;;місто;49.22818;29.53366
Zhivodara;Zhivodara;Kherson;;місто;46.93333;33.15
Zhyvachiv;Zhyvachiv;Ivano-Frankivsk;;місто;48.80158;25.16802
Zhytni Hory;Житные Горы;Kyiv;;місто;49.73183;30.46968
Zhitnikovka;Zhitnikovka;Poltava;;місто;49.71667;34.15
Zhytnyky;Житники;Cherkasy;;місто;49.20179;30.02358
Zhitniki;Zhitniki;Vinnytsia;;місто;48.75478;27.46171
Zhytlivka;Zhytlivka;Luhansk;;місто;49.09928;38.19017
Zhytyntsi;Житинцы;Zhytomyr;;місто;49.91506;27.57363
Zhytyntsi;Zhytyntsi;Zhytomyr;;місто;49.84936;28.54164
Zhytenko;Zhytenko;Donetsk;;місто;47.80138;38.6887
Rzhyshchiv;Rzhyshchiv;Volyn;;місто;50.34972;24.7688
Zhyshchyntsi;Zhyshchyntsi;Khmelnytskyi;;місто;49.1711;26.67311
Zhyrivske;Жировское;Lviv;;місто;49.27832;24.16769
Zhyrivka;Zhyrivka;Lviv;;місто;49.73568;24.06768
Zhyrova;Zhyrova;Lviv;;місто;49.41214;24.25977
Zhyrkivka;Zhyrkivka;Poltava;;місто;49.28678;34.83467
Zhyrychi;Zhyrychi;Volyn;;місто;51.68843;24.40919
Zhylzha;Zhil’zha;Rivne;;місто;50.83565;26.20883
Zhylivka;Zhylivka;Chernivtsi;;місто;48.34234;26.43124
Zhilo-Gromadske;Zhilo-Gromadske;Kirovohrad;;місто;47.83333;32.01667
Zhylyntsi;Zhylyntsi;Khmelnytskyi;;місто;50.10448;26.98728
Zhylyntsi;Zhylyntsi;Khmelnytskyi;;місто;49.26176;26.87954
Zhylyn Mlynok;Zhylyn Mlynok;Chernihiv;;місто;51.03806;30.93698
Zhykhove;Жихово;Sumy;;місто;52.16797;33.69855
Zhyhailivka;Жигайловка;Sumy;;місто;50.63333;35.10977
Zhyhalivka;Zhyhalivka;Vinnytsia;;місто;49.53696;28.31791
Zhydychyn;Zhydychyn;Volyn;;місто;50.81103;25.308
Nadrossia;Надросье;Vinnytsia;;місто;49.41667;29.08333
Zavodske;Заводское;Ternopil;;місто;48.99888;25.85369
Zhidkovka;Zhidkovka;Poltava;;місто;49.53187;34.24708
Zhichka;Zhichka;Ivano-Frankivsk;;місто;48.71667;24.66667
Zhezheliv;Zhezheliv;Vinnytsia;;місто;49.79492;28.64832
Zheved;Жеведь;Chernihiv;;місто;51.32666;30.97953
Zhornoklovy;Zhornoklovy;Cherkasy;;місто;49.97119;31.95482
Zherevtsi;Zherevtsi;Zhytomyr;;місто;51.1592;28.11263
Zhereva;Zhereva;Kyiv;;місто;50.89017;29.71614
Dzherelo;Dzherelo;Zhytomyr;;місто;51.06352;27.44379
Zherebkove;Zherebkove;Odesa;;місто;47.84021;29.87475
Zherebky;Zherebky;Zhytomyr;;місто;49.82482;28.16384
Zherebki;Zherebki;Khmelnytskyi;;місто;49.65;27.28333
Zherebky;Zherebky;Ternopil;;місто;49.50386;25.90365
Zherebylivka;Zherebylivka;Zhytomyr;;місто;50.62214;27.28959
Zherebylivka;Zherebylivka;Vinnytsia;;місто;48.60023;27.63335
Zherdia;Zherd’ye;Khmelnytskyi;;місто;48.81109;26.43513
Zherdenivka;Zherdënovka;Vinnytsia;;місто;48.71438;29.38587
Ripniv;Ripniv;Lviv;;місто;49.98333;24.5
Zheniv;Zheniv;Lviv;;місто;49.84363;24.50563
Zhernivka;Zhernivka;Chernihiv;;місто;51.61441;33.06063
Zhenyshkivtsi;Zhenyshkivtsi;Khmelnytskyi;;місто;49.10304;27.37924
Kryvorizhzhya;Криворожье;Mykolaiv;;місто;47.37599;31.75741
Zhendovitse;Zhendovitse;Lviv;;місто;49.58333;24.51667
